S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
33,194,135,68,33,190,130,80,33,187,128,78,31,182,127,80,30,179,124,78,33.45,31.01,28.02,27.47,33.45,30.99,27.97,27.59,33.45,30.99,27.97,27.58,33.32,30.91,27.95,27.46,33.32,30.91,27.95,27.45
41,256,179,92,39,256,180,99,39,255,179,101,39,255,178,102,40,255,179,101,33.46,30.36,27.98,28.14,33.46,30.36,27.95,28.08,33.46,30.37,27.95,28.07,33.33,30.27,27.90,28.06,33.33,30.28,27.90,28.02
68,347,208,108,68,343,206,130,67,340,206,129,66,337,201,136,66,336,199,138,33.42,30.23,27.07,27.36,33.42,30.23,27.21,27.48,33.42,30.23,27.22,27.47,33.29,30.11,27.12,27.38,33.29,30.11,27.13,27.38
81,382,259,129,81,384,262,173,81,383,260,170,83,382,259,173,82,381,261,172,33.23,30.27,27.63,27.85,33.23,30.27,27.61,27.81,33.23,30.27,27.61,27.78,33.11,30.14,27.50,27.71,33.11,30.14,27.50,27.67
101,423,285,149,101,421,284,183,101,422,285,184,100,421,283,184,99,420,280,183,33.79,30.04,27.65,23.31,33.78,30.04,27.65,23.42,33.77,30.04,27.65,23.51,33.63,29.92,27.55,23.54,33.63,29.92,27.55,23.52
167,519,348,198,165,515,347,250,163,514,344,249,162,508,343,265,163,509,341,260,34.18,29.05,27.24,22.82,34.18,29.06,27.37,22.89,34.18,29.08,27.37,22.87,34.04,28.97,27.27,22.83,34.03,28.99,27.28,22.72
268,522,412,244,267,524,407,324,267,522,410,325,265,523,408,337,262,520,407,337,33.63,26.46,25.58,22.36,33.64,26.65,25.70,22.44,33.64,26.69,25.73,22.37,33.52,26.66,25.77,22.33,33.52,26.68,25.80,22.21
363,466,366,309,363,465,366,384,360,464,366,375,359,465,370,416,356,461,370,413,29.76,19.29,19.53,19.14,29.81,19.40,19.65,19.19,29.84,19.45,19.60,19.06,29.77,19.80,19.94,19.26,29.82,19.98,20.13,19.31
334,413,375,326,328,406,377,396,330,407,375,402,329,405,366,414,329,405,361,411,28.15,14.97,15.66,16.33,28.16,15.24,15.91,16.41,28.19,15.30,15.91,16.40,28.12,15.37,15.93,16.41,28.15,15.50,16.03,16.51
333,409,372,304,334,416,367,380,329,415,362,373,330,410,364,406,333,411,368,408,25.89,12.61,12.65,13.08,26.09,12.75,12.76,13.26,26.12,12.66,12.67,13.14,26.06,12.78,12.84,13.33,26.10,12.93,13.03,13.51
329,379,331,298,333,378,332,377,339,378,331,380,334,386,332,395,334,379,326,391,24.54,11.40,11.85,11.84,24.67,11.43,12.02,12.00,24.71,11.45,12.02,11.96,24.72,11.40,11.93,11.87,24.62,11.44,11.96,11.97
308,384,334,305,305,387,335,367,302,389,337,366,304,383,337,382,304,392,343,391,25.50,11.45,11.67,12.49,25.61,11.57,11.81,12.50,25.60,11.56,11.81,12.32,25.56,11.44,11.71,12.26,25.53,11.40,11.69,12.34
207,424,329,282,213,426,332,356,218,424,332,362,224,428,337,386,226,426,342,387,28.42,18.11,17.52,17.16,28.28,17.92,17.44,17.10,28.21,17.66,17.21,16.86,28.04,17.46,16.92,16.61,27.99,17.35,16.81,16.57
126,420,309,209,127,421,309,274,127,425,315,276,127,430,315,297,128,432,316,299,32.50,26.60,25.44,23.10,32.40,26.59,25.36,22.89,32.37,26.36,25.12,22.75,32.15,25.98,24.77,22.53,32.09,25.78,24.68,22.32
105,427,309,203,106,424,308,264,106,420,306,263,107,423,310,272,106,427,308,274,34.06,31.13,29.51,25.71,34.10,31.07,29.42,25.77,34.09,31.00,29.37,25.71,34.04,30.77,29.14,25.52,34.03,30.69,29.11,25.48
123,436,345,199,122,439,349,246,121,444,349,245,122,441,345,261,122,439,344,259,34.59,31.74,29.56,25.90,34.67,31.73,29.56,26.01,34.66,31.72,29.56,25.99,34.68,31.58,29.44,25.89,34.68,31.57,29.45,25.89
104,415,298,179,105,411,297,229,105,412,298,231,103,414,302,242,105,415,304,242,33.88,30.87,27.98,25.54,33.90,30.88,28.00,25.63,33.91,30.89,28.03,25.62,33.81,30.78,27.98,25.58,33.82,30.80,28.01,25.56
104,433,299,199,104,432,298,243,103,430,299,245,103,428,301,257,102,426,298,253,33.48,30.44,28.44,24.20,33.49,30.45,28.42,24.30,33.49,30.45,28.41,24.30,33.37,30.33,28.30,24.30,33.37,30.34,28.29,24.22
97,420,314,167,97,419,314,226,98,420,314,224,97,421,311,237,96,422,317,237,33.44,30.50,28.88,24.45,33.44,30.49,28.87,24.52,33.45,30.49,28.86,24.49,33.31,30.36,28.74,24.42,33.31,30.36,28.73,24.31
117,423,310,181,117,429,311,238,119,433,311,239,119,432,307,250,120,432,305,250,33.41,30.75,29.30,24.63,33.41,30.74,29.28,24.70,33.41,30.74,29.28,24.67,33.28,30.60,29.16,24.61,33.28,30.60,29.16,24.50
91,413,299,186,91,408,300,240,90,406,300,238,91,408,303,250,90,407,304,254,33.40,30.57,29.02,24.63,33.40,30.57,29.02,24.70,33.40,30.57,29.02,24.68,33.27,30.45,28.93,24.62,33.27,30.45,28.93,24.54
105,415,318,209,105,416,317,274,103,415,316,274,105,414,318,280,107,416,313,279,33.55,30.67,28.70,24.99,33.55,30.67,28.70,25.05,33.55,30.67,28.70,25.02,33.41,30.54,28.60,24.94,33.41,30.53,28.60,24.92
99,424,319,191,98,425,317,251,101,424,314,253,99,419,315,270,99,419,317,272,33.44,30.62,28.29,24.86,33.45,30.62,28.29,24.93,33.45,30.62,28.30,24.90,33.32,30.50,28.20,24.85,33.32,30.50,28.21,24.85
108,463,337,189,107,462,338,247,105,459,340,245,106,463,333,261,104,464,336,258,33.35,30.50,28.48,24.90,33.35,30.50,28.47,24.97,33.35,30.51,28.47,24.95,33.22,30.38,28.35,24.89,33.22,30.38,28.35,24.87
118,446,317,205,120,446,315,267,120,444,314,269,120,444,318,291,119,440,314,292,33.50,30.56,27.76,25.17,33.50,30.55,27.77,25.24,33.50,30.55,27.79,25.21,33.36,30.42,27.71,25.13,33.36,30.42,27.72,25.10
118,474,359,217,117,475,359,266,117,478,361,262,117,477,360,286,118,479,359,285,33.43,30.39,28.10,25.13,33.43,30.39,28.09,25.21,33.44,30.40,28.08,25.19,33.30,30.27,27.97,25.16,33.31,30.27,27.96,25.14
126,459,330,218,126,459,332,285,125,462,332,286,126,463,335,302,127,463,336,305,33.33,30.95,29.44,25.86,33.34,30.94,29.40,25.95,33.34,30.93,29.38,25.90,33.21,30.78,29.23,25.78,33.21,30.77,29.20,25.75
161,466,362,240,161,463,361,290,161,463,359,290,160,463,358,312,160,463,357,308,33.01,29.81,28.24,25.98,33.01,29.83,28.26,26.10,33.02,29.84,28.28,26.07,32.89,29.74,28.19,25.96,32.89,29.76,28.21,25.95
129,481,333,221,128,480,331,291,129,478,334,294,127,475,334,305,127,475,338,308,33.70,30.61,28.93,25.86,33.69,30.59,28.91,25.97,33.67,30.58,28.89,25.95,33.53,30.43,28.76,25.83,33.52,30.42,28.75,25.81
177,530,355,245,176,529,358,305,176,528,354,302,176,525,353,319,174,525,352,316,33.72,30.27,28.17,25.91,33.72,30.28,28.19,26.02,33.72,30.29,28.20,25.99,33.59,30.16,28.10,25.89,33.59,30.17,28.11,25.87
181,491,381,244,182,495,378,317,182,493,379,318,184,500,379,338,183,497,377,338,33.70,30.29,29.23,25.84,33.70,30.29,29.20,25.95,33.70,30.29,29.18,25.92,33.57,30.15,29.04,25.81,33.57,30.15,29.02,25.79
241,478,351,250,241,477,354,312,238,480,354,312,236,476,350,324,234,478,351,329,33.21,28.29,27.19,25.46,33.21,28.33,27.38,25.55,33.22,28.37,27.42,25.53,33.09,28.30,27.35,25.48,33.10,28.34,27.38,25.47
250,499,357,291,245,500,353,372,244,499,355,369,242,499,358,378,243,492,356,371,29.71,24.31,23.68,22.60,29.74,24.48,23.84,22.73,29.82,24.54,23.91,22.72,29.78,24.63,24.02,22.71,29.87,24.58,23.96,22.64
280,436,365,320,285,438,369,383,287,437,368,383,287,434,363,398,287,441,365,396,27.48,21.21,20.54,20.64,27.66,21.47,20.82,20.85,27.71,21.41,20.74,20.74,27.64,21.56,20.88,20.84,27.67,21.53,20.98,20.89
296,420,356,334,292,417,355,407,294,418,350,402,288,417,350,431,289,413,348,428,24.12,16.79,17.09,17.49,24.25,16.94,17.22,17.65,24.30,16.98,17.23,17.61,24.36,17.09,17.42,17.74,24.30,17.28,17.44,17.88
310,402,324,313,306,401,322,394,302,399,318,393,300,402,317,437,296,400,317,440,21.69,14.50,14.55,14.85,21.94,14.57,14.62,15.10,21.83,14.46,14.56,15.00,22.05,14.58,14.72,15.09,21.95,14.67,14.77,15.22
320,384,328,294,326,385,328,359,325,384,334,362,329,381,333,391,329,384,328,385,20.26,13.84,13.91,13.93,20.27,13.86,13.92,13.96,20.17,13.71,13.78,13.83,20.37,13.76,13.84,13.86,20.44,13.86,13.85,13.93
321,368,308,271,318,365,308,342,316,363,308,341,317,363,307,377,319,362,306,383,20.36,14.02,13.62,12.55,20.29,14.01,13.75,12.62,20.16,13.84,13.59,12.48,20.28,13.86,13.63,12.52,20.34,13.87,13.71,12.69
333,378,341,301,332,384,343,381,338,387,342,377,336,388,344,416,332,391,347,416,18.92,13.12,12.77,11.70,18.90,13.27,12.83,11.84,18.81,13.14,12.70,11.78,18.98,13.20,12.78,11.71,19.06,13.31,12.92,11.79
330,327,307,283,330,326,304,353,328,327,302,359,328,325,303,383,331,323,306,380,17.56,12.57,12.29,11.56,17.72,12.62,12.33,11.69,17.67,12.49,12.32,11.65,17.72,12.54,12.23,11.56,17.81,12.67,12.25,11.57
312,358,280,291,313,357,277,351,314,354,283,349,313,356,284,377,311,355,279,376,18.15,11.60,11.56,11.25,18.26,11.74,11.70,11.27,18.20,11.75,11.73,11.24,18.17,11.70,11.65,11.18,18.21,11.73,11.65,11.18
316,361,323,309,317,360,327,370,314,364,324,369,316,364,317,384,318,362,319,384,18.67,11.39,11.40,11.03,18.62,11.52,11.54,11.03,18.49,11.53,11.54,10.90,18.59,11.43,11.44,10.92,18.63,11.41,11.42,10.91
276,365,320,256,276,368,319,301,277,367,321,303,282,365,328,339,282,370,328,343,18.21,12.40,12.96,12.83,18.34,12.41,13.03,12.87,18.29,12.24,12.85,12.63,18.31,12.21,12.76,12.57,18.37,12.26,12.79,12.53
278,380,293,269,278,378,296,310,278,373,296,311,274,380,295,333,275,375,298,335,19.54,14.18,14.57,13.82,19.46,14.14,14.67,13.80,19.31,13.93,14.47,13.62,19.40,13.88,14.43,13.63,19.42,13.86,14.40,13.63
267,392,326,251,269,392,325,315,270,397,327,319,270,394,333,346,272,402,333,346,20.79,16.98,17.41,16.52,20.93,17.03,17.47,16.50,20.77,16.87,17.35,16.33,20.79,16.79,17.23,16.14,20.66,16.73,17.21,16.15
282,378,358,281,280,382,360,317,280,382,356,312,281,385,353,338,281,386,353,341,21.25,17.92,18.68,17.47,21.44,18.03,18.61,17.57,21.31,17.96,18.47,17.49,21.35,17.93,18.57,17.45,21.22,17.97,18.60,17.48
260,393,314,246,261,390,314,295,262,389,313,295,265,385,308,304,262,379,306,301,20.56,16.34,16.80,15.59,20.77,16.41,16.88,15.81,20.66,16.41,16.89,15.82,20.74,16.39,16.90,15.80,20.79,16.42,17.07,15.86
170,240,275,242,176,249,282,307,180,259,292,308,185,274,308,314,192,285,317,317,22.66,19.62,20.06,18.03,22.68,19.45,19.92,18.07,22.61,19.20,19.69,17.90,22.57,19.13,19.63,17.74,22.40,19.07,19.63,17.69
