S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,193,131,80,33,190,128,80,33,187,127,81,31,183,126,80,33.43,30.74,27.91,27.53,33.43,30.77,27.84,27.50,33.41,30.79,27.59,27.27,33.45,30.76,27.88,27.50,33.45,30.80,27.90,27.34
41,256,179,92,40,255,180,100,39,256,182,99,39,254,180,102,40,255,179,102,33.46,30.08,27.78,28.09,33.46,29.92,27.67,28.04,33.46,29.98,27.37,27.91,33.46,29.92,27.75,28.01,33.46,30.05,27.77,27.93
67,347,208,110,68,344,209,132,68,342,206,130,66,339,203,137,67,337,202,136,33.34,29.83,26.62,27.40,33.32,29.64,26.88,27.38,33.34,29.69,26.86,27.39,33.41,29.62,26.93,27.41,33.41,29.77,26.72,27.23
82,383,259,127,81,384,259,170,81,385,260,171,82,385,262,172,82,383,258,173,33.18,29.84,27.20,27.79,33.17,29.54,27.17,27.74,33.02,29.62,26.95,27.57,33.18,29.52,27.26,27.74,33.19,29.74,26.93,27.57
101,423,285,150,102,419,285,184,101,421,285,183,101,421,281,188,100,421,282,184,33.72,29.49,27.27,23.02,33.67,29.21,27.21,22.98,33.70,29.19,26.94,23.25,33.67,29.23,27.33,23.14,33.70,29.47,26.97,23.43
166,518,350,197,164,520,347,251,164,514,348,249,162,510,346,261,162,509,344,264,34.05,28.38,26.37,22.58,33.98,27.97,26.64,22.27,34.04,27.90,26.65,22.49,34.01,27.99,26.75,22.43,34.04,28.06,26.36,22.66
270,525,410,243,268,524,412,324,268,524,407,324,268,522,409,343,267,521,410,335,33.28,25.30,24.56,22.05,33.09,25.67,24.95,21.58,33.23,25.62,24.80,21.91,33.26,25.57,24.57,21.44,33.33,25.72,24.98,22.02
362,463,366,310,363,460,361,383,362,458,363,380,359,458,365,412,358,456,365,414,29.26,17.67,18.30,18.47,29.15,18.08,18.52,18.49,29.24,18.01,18.57,18.46,29.24,18.16,19.22,18.46,29.38,18.54,19.00,18.85
333,413,378,326,329,408,377,395,327,406,376,397,327,406,370,418,326,409,365,413,27.68,13.84,14.76,15.35,27.45,13.92,14.59,15.57,26.91,14.11,14.79,15.58,27.62,14.10,14.81,15.84,27.65,14.33,15.16,16.08
334,408,369,305,338,413,365,381,335,414,362,376,332,410,359,402,332,405,362,404,25.54,11.54,11.67,12.52,25.57,11.78,11.85,12.78,25.59,11.78,11.93,12.71,25.62,11.66,11.92,12.78,25.72,11.90,12.25,13.06
329,379,332,298,331,378,332,376,334,377,330,379,335,381,333,395,333,375,328,394,23.66,10.42,11.21,11.26,24.05,10.41,11.11,11.39,23.49,10.44,11.31,11.40,23.51,10.50,11.32,11.43,23.93,10.79,11.52,11.60
308,385,333,303,306,387,335,368,304,385,337,366,305,387,336,381,306,397,340,387,24.75,10.61,11.04,11.83,25.13,10.45,10.92,11.99,25.01,10.58,11.02,11.84,25.01,10.69,11.13,11.74,25.11,10.68,11.19,12.00
206,424,331,283,207,427,336,359,214,430,337,363,218,428,338,385,222,426,341,387,28.16,16.77,16.47,16.49,28.14,16.81,16.49,16.50,27.86,16.44,16.19,16.18,28.00,16.29,16.09,15.94,27.99,16.46,16.12,16.18
126,421,308,210,127,424,308,272,126,430,313,274,127,433,319,301,127,439,319,300,32.42,25.59,25.08,22.83,32.32,25.80,25.03,22.24,32.34,25.57,24.79,22.37,32.20,25.29,24.39,21.84,32.18,24.69,24.36,22.09
105,427,308,203,107,425,310,265,107,423,308,266,107,423,308,274,108,425,311,273,34.12,30.53,29.09,25.20,34.08,30.33,28.86,25.47,34.07,30.41,28.88,25.31,34.01,30.14,28.79,25.39,34.02,30.23,28.81,25.36
123,436,345,199,122,438,347,246,122,440,349,245,122,444,348,259,121,441,346,261,34.68,31.21,29.09,25.77,34.64,30.85,28.94,25.83,34.67,31.03,29.00,25.84,34.64,30.78,28.98,25.79,34.66,30.94,29.07,25.75
104,414,297,178,105,414,296,229,104,411,293,230,105,411,295,242,104,413,299,242,33.78,30.35,27.60,25.16,33.70,30.16,27.37,25.41,33.78,30.26,26.91,25.37,33.77,30.15,27.60,25.45,33.83,30.32,27.67,25.39
105,434,300,199,104,429,298,242,104,431,300,243,103,430,301,255,103,428,301,255,33.44,29.87,28.06,23.75,33.43,29.58,27.74,24.05,33.44,29.61,27.22,23.71,33.49,29.58,27.78,23.79,33.49,29.83,27.80,23.97
96,419,314,167,96,421,316,225,98,420,316,226,97,420,315,240,96,421,313,238,33.38,29.96,28.00,24.04,33.36,29.68,28.32,24.34,33.36,29.71,28.27,23.96,33.43,29.62,28.39,24.00,33.43,29.86,28.41,24.12
118,425,311,182,117,425,310,239,117,429,311,237,119,432,310,246,120,431,307,249,33.31,29.77,28.77,24.47,33.25,29.89,28.81,24.52,33.26,29.99,28.81,24.11,33.35,29.81,28.87,24.12,33.36,30.08,28.90,24.41
90,411,298,186,91,412,299,240,91,407,300,239,90,409,300,250,90,407,303,251,33.34,29.58,28.65,24.49,33.33,29.72,28.56,24.55,33.31,29.77,28.56,24.08,33.37,29.69,28.58,24.16,33.37,29.96,28.58,24.45
105,416,318,208,106,415,318,275,104,417,315,275,104,413,316,284,105,416,315,280,33.45,29.69,27.83,24.81,33.40,29.84,28.18,24.87,33.46,29.92,28.05,24.66,33.45,29.77,28.29,24.36,33.46,30.03,28.39,24.78
99,424,319,193,98,423,317,252,99,424,315,252,100,422,313,268,100,420,314,271,33.39,29.65,27.88,24.67,33.37,29.74,27.55,24.74,33.33,29.84,27.06,24.32,33.41,29.68,27.64,24.37,33.41,29.97,27.71,24.68
109,463,337,188,106,464,337,245,107,463,340,247,106,460,338,262,106,461,335,261,33.26,29.87,28.09,24.76,33.23,29.54,27.72,24.81,33.21,29.60,27.13,24.50,33.32,29.52,27.76,24.40,33.32,29.81,27.78,24.77
118,446,315,204,121,445,316,268,119,444,314,267,120,446,314,291,120,445,317,290,33.42,29.54,27.24,25.06,33.37,29.66,27.16,25.01,33.38,29.70,26.59,24.98,33.47,29.62,27.32,24.64,33.47,29.91,27.16,24.86
118,473,361,218,117,477,359,266,118,476,360,265,117,478,361,286,117,478,360,287,33.34,29.81,27.58,24.95,33.29,29.44,27.28,24.86,33.30,29.42,26.68,24.83,33.40,29.38,27.38,24.57,33.41,29.68,27.33,24.93
126,460,331,218,125,459,334,285,125,460,334,285,125,463,336,303,126,462,338,301,33.23,30.23,29.00,25.67,33.19,30.13,28.81,25.70,33.19,30.21,28.78,25.69,33.29,30.04,28.82,25.62,33.30,30.26,28.85,25.59
161,466,361,240,161,462,359,294,161,463,358,290,160,462,357,310,159,463,355,313,32.77,29.23,27.76,25.77,32.82,28.88,27.47,25.84,32.79,29.00,26.92,25.83,32.93,28.97,27.65,25.82,32.96,29.20,27.69,25.78
131,481,333,222,130,483,333,286,129,479,334,292,129,476,336,307,129,477,336,305,33.56,29.56,28.04,25.72,33.47,29.57,28.30,25.69,33.50,29.70,28.24,25.69,33.54,29.52,28.37,25.68,33.55,29.81,28.35,25.64
174,530,355,245,177,527,356,307,175,529,355,305,176,529,351,315,175,525,351,318,33.57,29.55,27.70,25.64,33.47,29.16,27.45,25.72,33.52,29.29,26.89,25.73,33.56,29.19,27.61,25.71,33.59,29.51,27.65,25.63
182,490,381,244,179,497,380,320,182,495,380,317,182,494,381,340,183,498,381,338,33.49,29.72,28.59,25.68,33.37,29.28,28.55,25.65,33.43,29.37,28.47,25.63,33.49,29.27,28.55,25.57,33.52,29.54,28.58,25.55
241,478,353,248,242,474,354,309,242,475,355,311,239,476,353,326,237,472,350,326,32.92,27.59,26.29,24.83,32.80,27.21,26.69,25.21,32.41,26.64,26.75,25.19,32.89,27.37,26.84,24.84,32.96,27.41,26.48,25.17
250,500,355,291,248,499,351,370,244,501,351,369,244,499,352,378,242,497,355,372,29.42,22.81,23.01,22.14,29.36,22.97,22.46,21.78,29.40,22.79,23.30,22.06,29.47,22.90,22.79,21.73,29.59,23.29,23.15,22.29
280,435,366,320,283,437,369,384,286,438,370,384,286,437,369,401,286,438,365,400,27.20,19.92,19.74,20.14,27.14,20.01,19.58,19.93,27.01,20.10,20.15,20.06,27.34,20.26,20.26,20.40,27.04,20.57,20.27,20.43
296,421,356,335,293,414,353,407,292,412,347,401,291,411,346,425,288,409,348,421,23.45,15.54,16.04,16.33,23.66,15.52,16.33,16.83,23.27,15.67,16.19,16.78,23.28,15.99,16.31,16.91,23.70,16.23,16.53,17.23
311,401,323,312,307,403,322,394,304,402,319,395,302,402,318,442,301,403,318,448,20.91,13.32,13.61,13.98,20.88,13.28,13.62,14.34,20.89,13.41,13.84,14.43,21.07,13.53,13.92,14.51,21.31,13.72,14.26,14.85
318,382,328,294,325,382,327,356,323,381,332,361,323,381,331,389,326,382,328,384,19.24,12.81,13.04,13.21,19.30,12.76,13.03,13.29,19.74,12.85,13.15,13.29,19.92,12.98,13.22,13.42,19.76,13.05,13.39,13.69
321,367,309,271,317,367,311,342,318,365,311,339,318,362,309,373,318,362,308,377,19.31,12.95,13.00,12.00,19.39,12.98,13.01,12.18,19.80,12.98,12.98,12.06,19.96,13.00,13.09,11.92,19.92,13.11,13.19,12.38
333,382,340,302,332,385,341,380,336,387,339,375,333,388,342,418,330,390,343,417,17.86,12.20,11.93,11.17,17.98,12.34,12.08,11.24,18.07,12.34,11.96,11.37,17.95,12.28,11.94,11.33,18.28,12.53,12.20,11.54
331,326,306,282,331,324,303,356,328,325,302,360,328,325,302,382,330,322,305,379,16.78,11.67,11.46,10.98,16.88,11.97,11.63,11.06,16.78,11.96,11.70,11.09,16.75,11.89,11.66,11.19,17.02,12.08,11.85,11.37
313,358,282,291,312,358,278,348,315,354,283,349,317,354,283,378,315,355,280,375,17.39,10.82,10.94,10.60,17.42,10.72,10.94,10.69,17.69,10.94,11.08,10.64,17.24,11.03,11.18,10.71,17.51,11.11,11.30,10.91
314,361,323,309,316,360,326,371,312,362,323,369,312,361,317,382,314,361,318,385,17.63,10.63,10.72,10.26,17.79,10.55,10.64,10.42,17.78,10.69,10.81,10.40,17.62,10.81,10.93,10.36,18.17,10.82,11.03,10.46
278,365,319,258,280,368,320,303,279,370,322,304,283,370,330,341,284,371,330,345,17.75,11.53,12.28,12.40,17.58,11.60,12.28,12.38,17.97,11.53,12.20,12.27,17.46,11.34,12.12,12.19,17.77,11.49,12.16,12.31
276,380,292,267,274,378,296,309,278,373,300,311,274,381,297,334,273,380,300,334,18.65,13.07,13.97,13.23,18.71,13.07,13.82,13.20,18.61,13.08,14.03,13.17,19.06,12.98,13.79,13.24,18.81,13.00,14.01,13.39
268,393,329,251,270,392,327,315,269,397,324,319,272,391,329,349,274,394,328,348,20.13,15.82,16.58,15.86,20.06,15.93,16.56,15.93,20.13,15.59,16.53,15.76,20.16,15.57,16.37,15.72,20.19,15.68,16.45,15.84
283,378,355,281,281,384,358,319,282,384,357,314,283,386,353,332,282,389,354,337,20.93,16.73,17.51,16.81,20.53,16.98,17.60,16.98,20.59,16.72,17.56,16.84,20.65,16.79,17.47,16.88,20.81,17.00,17.93,17.06
259,392,315,248,260,386,314,295,261,385,312,296,261,386,311,307,264,381,310,308,20.29,15.12,15.92,15.20,19.97,15.03,16.10,15.08,20.36,15.26,16.06,15.28,20.42,15.39,16.19,15.31,20.49,15.52,16.45,15.50
169,240,275,241,174,250,281,308,177,259,290,308,182,270,303,311,185,280,310,311,22.09,18.58,19.09,17.57,21.81,18.30,19.05,17.48,22.29,17.99,19.25,17.47,21.93,18.51,19.29,17.11,22.26,18.04,19.22,17.28
