S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,193,132,80,33,190,129,80,33,185,128,81,31,183,127,80,33.42,30.71,27.90,27.53,33.42,30.67,27.86,27.50,33.42,30.78,27.87,27.48,33.42,30.66,27.91,27.49,33.45,30.78,27.91,27.41
41,256,179,92,40,255,179,100,39,256,181,99,39,255,179,102,39,255,178,102,33.46,30.05,27.76,28.08,33.46,29.86,27.72,28.07,33.46,30.04,27.76,28.07,33.46,29.88,27.79,28.04,33.44,30.03,27.80,27.98
67,347,208,109,68,344,209,131,68,342,206,130,66,339,203,137,68,337,202,136,33.34,29.79,26.60,27.13,33.33,29.60,27.00,27.38,33.34,29.75,26.95,27.32,33.34,29.57,27.06,27.44,33.34,29.77,27.11,27.37
82,383,259,128,80,383,259,172,81,384,261,172,82,386,262,172,81,382,259,173,33.17,29.81,27.18,27.77,33.17,29.51,27.26,27.77,33.18,29.71,27.27,27.63,33.18,29.46,27.31,27.77,33.18,29.68,27.32,27.67
101,423,285,150,103,420,285,183,101,421,284,182,101,419,282,188,101,422,282,184,33.71,29.49,27.23,22.99,33.74,29.15,27.30,23.32,33.74,29.28,27.30,23.06,33.74,29.10,27.33,23.18,33.73,29.18,27.32,23.34
166,517,350,197,165,520,347,252,164,515,347,250,162,511,346,261,162,507,343,264,34.03,27.91,26.37,22.37,34.03,28.01,26.74,22.64,34.03,27.95,26.75,22.32,34.02,27.95,26.82,22.34,34.02,28.27,26.89,22.50
271,526,410,244,267,523,411,323,267,523,408,323,267,522,409,342,265,523,411,337,33.25,25.36,24.54,21.98,33.20,25.50,24.90,21.65,33.26,24.83,24.89,21.71,33.25,25.58,25.00,21.66,33.27,25.57,24.55,21.83
361,462,366,309,363,461,362,382,363,458,363,380,359,459,364,413,358,456,364,412,29.21,17.77,18.37,18.22,29.14,18.09,18.52,18.47,29.30,17.85,18.83,18.46,29.17,18.86,19.17,18.72,29.35,18.62,19.14,18.78
333,414,378,326,329,408,377,396,329,407,376,398,328,406,370,419,329,408,367,415,27.64,13.89,14.77,15.53,27.56,13.78,14.74,15.76,27.63,14.02,14.78,15.64,27.63,14.22,15.17,15.78,27.76,14.57,15.21,16.08
334,408,369,305,337,413,365,381,332,414,361,375,331,410,359,400,330,406,360,401,25.16,11.45,11.62,12.48,25.53,11.61,11.84,12.64,25.52,11.60,11.84,12.70,25.62,11.60,11.91,12.91,25.27,12.03,12.19,13.06
