S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,193,132,80,33,191,129,80,33,187,128,81,31,183,127,80,33.44,30.65,27.78,27.48,33.42,30.63,27.76,27.47,33.42,30.64,27.78,27.41,33.44,30.65,27.65,27.41,33.44,30.82,27.88,27.32
41,256,179,92,40,255,179,100,39,255,181,99,39,255,179,102,40,255,178,102,33.45,29.67,27.54,27.96,33.45,29.26,27.50,27.99,33.45,29.52,27.54,28.00,33.45,29.71,27.34,27.99,33.44,29.97,27.72,27.98
67,347,208,109,68,345,210,132,68,343,206,130,67,338,204,137,67,338,202,136,33.25,28.90,26.70,27.31,33.33,28.40,26.67,27.28,33.32,28.57,26.72,27.30,33.39,28.83,26.69,27.31,33.37,29.30,27.01,27.34
82,383,259,128,81,383,258,171,81,383,260,172,81,384,260,172,82,381,259,173,33.13,28.45,26.77,27.73,33.14,27.82,26.75,27.64,33.15,28.16,26.73,27.63,33.21,28.48,26.52,27.51,33.21,29.09,27.20,27.61
101,422,285,150,102,419,285,183,101,422,285,183,101,421,282,188,101,422,282,184,33.65,28.04,26.80,23.08,33.69,27.22,26.76,23.13,33.68,27.49,26.72,23.18,33.72,27.84,26.52,23.15,33.74,28.44,27.21,23.07
166,519,350,197,165,519,347,253,164,510,348,250,163,508,346,263,162,508,344,264,33.86,25.12,25.84,22.36,33.93,24.18,25.68,22.39,33.89,24.48,25.67,22.31,34.05,25.02,25.55,22.31,34.10,25.60,26.50,22.50
271,524,410,243,267,521,411,322,268,521,407,323,267,518,408,342,266,515,407,334,33.02,21.01,22.70,21.39,32.75,20.10,22.32,21.56,32.70,20.51,22.56,21.31,33.12,21.53,23.24,21.33,33.07,22.28,24.07,21.41
361,461,365,310,365,458,362,383,364,458,364,380,361,456,366,411,360,454,367,416,28.46,12.16,16.09,17.11,27.82,13.08,16.31,18.01,27.98,13.75,16.38,17.63,28.36,14.09,16.66,17.49,28.77,16.68,18.45,18.52
333,410,378,326,330,408,377,395,329,408,374,395,328,411,365,415,328,411,361,413,26.73,8.43,11.37,13.71,26.61,11.26,11.64,14.95,26.60,11.66,11.87,14.99,26.54,12.15,12.48,14.88,27.35,13.90,14.66,15.87
334,405,362,305,336,403,356,380,333,404,355,377,332,402,359,404,331,400,360,402,24.47,7.35,7.99,10.55,24.43,10.13,10.83,12.14,24.52,10.98,11.05,12.18,25.04,11.24,11.06,12.25,25.46,12.22,12.26,12.99
