S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,193,132,80,33,191,129,80,33,187,128,81,31,183,127,80,33.43,30.72,27.86,27.54,33.43,30.70,27.83,27.49,33.43,30.72,27.86,27.51,33.43,30.78,27.88,27.51,33.45,30.79,27.94,27.49
41,256,179,92,40,255,179,100,39,255,181,99,39,255,179,102,40,255,179,102,33.46,30.08,27.70,28.09,33.46,29.97,27.65,28.05,33.46,29.93,27.70,28.08,33.46,29.85,27.75,28.06,33.45,30.08,27.86,28.06
67,347,208,110,68,345,210,132,68,343,206,130,67,339,204,137,67,338,201,136,33.34,29.55,26.88,27.40,33.33,29.57,26.82,27.38,33.34,29.51,26.87,27.40,33.34,29.43,26.96,27.39,33.36,29.72,27.05,27.37
82,384,259,127,81,383,258,171,81,385,260,171,81,384,262,172,82,383,259,173,33.18,29.63,27.16,27.76,33.17,29.42,26.99,27.71,33.17,29.34,27.08,27.71,33.18,29.25,27.15,27.72,33.20,29.61,27.30,27.67
101,422,285,150,102,420,285,183,101,420,285,184,101,421,281,190,101,421,282,184,33.73,28.95,27.23,23.25,33.69,28.98,27.04,23.28,33.68,28.97,27.12,23.33,33.68,28.99,27.21,23.47,33.71,29.21,27.33,23.44
166,518,350,197,165,519,347,253,164,513,348,250,163,510,346,261,162,507,345,265,34.07,27.38,26.53,22.54,34.00,26.91,26.31,22.63,34.04,27.14,26.51,22.60,34.07,27.14,26.55,22.58,34.12,27.58,26.82,22.63
270,525,410,244,267,524,412,322,268,523,407,322,267,521,409,342,266,521,408,335,33.10,24.44,24.15,21.85,32.95,23.93,24.13,21.86,33.06,24.09,24.21,21.80,33.06,24.17,24.14,21.67,33.17,24.56,24.67,21.90
362,462,366,309,363,459,361,383,363,459,364,380,359,457,364,412,358,456,365,414,29.00,16.24,17.71,18.06,29.09,16.30,17.62,18.34,28.98,16.52,17.92,18.23,29.01,16.81,18.14,18.14,29.28,17.76,18.96,18.82
333,412,377,326,329,409,377,395,327,407,375,397,327,408,369,416,327,410,365,413,27.50,12.57,13.75,14.96,27.30,12.67,13.76,15.46,27.41,12.80,13.90,15.07,27.51,12.96,14.14,15.53,27.75,14.06,15.10,15.94
334,409,369,305,338,411,365,381,334,411,361,376,332,408,360,403,330,403,362,403,25.25,10.04,10.36,11.91,25.13,10.12,10.57,12.51,25.23,10.15,10.66,12.43,25.04,10.32,10.88,12.67,25.50,11.66,11.90,13.11
