S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,193,132,80,33,191,129,80,33,187,128,81,31,183,127,80,33.44,30.55,27.77,27.47,33.44,30.34,27.79,27.44,33.44,30.43,27.80,27.45,33.41,30.57,27.76,27.41,33.44,30.80,27.93,27.30
41,256,179,92,40,255,179,100,39,255,181,99,39,255,179,102,40,255,179,102,33.45,29.60,27.53,27.96,33.45,29.28,27.52,28.00,33.45,29.44,27.55,28.00,33.45,29.60,27.51,27.95,33.44,29.89,27.82,27.95
67,347,208,109,68,345,210,132,68,343,206,130,67,339,204,137,67,338,201,136,33.31,28.89,26.66,27.30,33.28,28.38,26.77,27.35,33.29,28.49,26.74,27.30,33.28,28.75,26.85,27.32,33.36,29.20,27.06,27.31
82,383,259,128,81,382,258,171,81,384,260,172,81,383,260,173,82,381,259,173,33.12,28.28,26.50,27.73,33.14,27.75,26.67,27.62,33.16,27.95,26.55,27.63,33.14,28.35,26.72,27.66,33.20,28.94,27.21,27.61
101,422,285,150,102,421,285,183,101,421,285,183,101,421,282,188,101,422,282,184,33.64,27.98,26.56,23.14,33.64,27.11,26.79,23.11,33.62,27.31,26.48,23.20,33.72,27.68,26.72,23.21,33.74,28.32,27.24,23.05
166,519,350,197,165,516,347,253,164,510,348,250,163,508,346,262,162,508,344,265,33.83,24.77,25.83,22.30,33.90,23.79,25.70,22.44,33.87,23.97,25.43,22.25,34.08,24.55,25.88,22.36,34.05,25.27,26.46,22.45
271,524,410,243,267,522,411,322,268,519,408,323,267,516,408,342,266,512,407,336,32.76,20.09,22.51,21.15,32.71,17.92,21.64,21.58,32.58,19.62,22.00,21.21,32.81,19.53,22.61,20.90,33.08,22.34,23.86,21.35
361,458,365,310,369,450,362,383,368,452,363,380,365,451,366,412,364,450,367,412,28.40,9.37,15.58,16.88,27.77,12.61,15.80,17.78,27.90,13.86,16.04,17.26,28.23,14.44,16.29,17.52,28.63,17.11,18.39,18.42
333,411,377,326,333,419,368,395,332,418,362,395,331,415,358,416,331,415,355,412,26.60,8.01,8.95,13.46,26.46,12.06,11.77,14.88,26.44,12.54,12.30,14.10,26.37,12.68,12.94,14.46,27.25,14.30,14.88,15.77
334,410,360,305,336,403,357,380,333,399,358,376,332,404,358,397,331,404,358,399,24.03,7.43,6.71,9.31,24.07,10.75,10.97,11.97,24.35,11.08,11.05,11.85,25.03,11.49,11.17,12.05,25.45,12.34,12.32,12.90
