S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,193,132,80,33,191,129,80,33,187,128,81,31,183,127,80,33.43,30.75,27.83,27.55,33.44,30.67,27.91,27.52,33.43,30.70,27.93,27.43,33.44,30.75,27.93,27.47,33.45,30.83,27.96,27.45
41,256,179,92,40,255,179,100,39,255,181,99,39,255,179,102,40,255,179,102,33.46,29.99,27.68,28.08,33.46,29.86,27.77,28.09,33.46,29.79,27.78,28.10,33.46,30.01,27.82,28.05,33.45,30.09,27.88,28.04
67,347,208,109,68,345,210,132,68,343,206,130,67,339,204,137,67,338,201,136,33.35,29.61,26.89,27.38,33.36,29.36,26.91,27.37,33.34,29.35,26.86,27.34,33.36,29.42,26.96,27.43,33.37,29.71,27.03,27.40
82,383,259,128,81,383,258,171,81,384,261,173,81,384,262,173,82,383,259,173,33.18,29.48,27.18,27.77,33.18,29.19,27.12,27.75,33.18,29.15,27.06,27.71,33.20,29.22,27.25,27.71,33.21,29.59,27.31,27.69
101,422,285,150,102,420,285,183,101,421,284,182,101,421,281,189,101,421,282,184,33.74,28.92,27.27,23.15,33.72,28.83,27.22,23.25,33.68,28.87,27.16,23.28,33.68,28.72,27.32,23.34,33.69,29.13,27.35,23.47
166,519,350,197,166,519,347,253,164,513,348,250,163,509,346,261,162,507,345,265,34.03,27.38,26.43,22.48,34.06,27.02,26.51,22.61,34.00,27.03,26.40,22.61,34.00,27.07,26.66,22.55,34.06,27.55,26.87,22.68
270,525,410,243,266,524,412,322,268,523,407,323,267,521,409,342,266,519,408,338,33.12,24.17,24.25,21.82,33.15,23.64,23.96,21.91,33.08,23.91,24.14,21.85,33.10,24.27,24.27,21.56,33.23,24.39,24.76,21.91
362,462,366,310,363,459,362,383,363,459,364,379,359,457,364,412,358,457,366,410,29.02,16.16,17.61,17.92,28.94,16.12,17.59,18.35,28.99,16.35,17.86,18.06,28.82,16.45,17.98,18.09,29.18,17.62,19.00,18.50
333,411,377,326,329,409,376,395,328,407,375,398,328,410,369,417,327,411,364,415,27.34,12.34,13.65,14.86,27.46,12.51,13.68,15.41,27.46,12.60,13.73,15.45,27.53,12.74,13.92,15.61,27.75,14.05,15.08,16.01
334,410,368,305,338,412,365,381,333,412,361,375,331,407,360,402,330,403,362,402,25.12,9.85,10.27,11.90,24.95,9.89,10.50,12.52,25.14,10.04,10.59,12.39,25.23,10.15,10.66,12.45,25.58,11.72,12.02,13.03
329,379,333,298,331,379,333,377,334,379,331,379,337,377,331,395,336,377,327,395,23.88,8.59,10.46,10.78,23.64,9.06,10.58,11.42,23.77,9.09,10.67,11.18,23.83,9.23,10.75,11.24,24.24,10.63,11.57,11.68
